invoice_id,customer_name,amount,due_date,canonical_id
INV-2026-2001,Zoho Corporation,32276.11,2026-09-08,CANON-1001
INV-2026-2002,Freshworks India,30111.32,2026-09-08,CANON-1002
INV-2026-2003,Swiggy Tech Fleet,12786.76,2026-08-18,CANON-1003
INV-2026-2004,Reliance Digital,180424.81,2026-09-07,CANON-1004
INV-2026-2005,Flipkart Internet Pvt Ltd,73156.72,2026-08-16,CANON-1005
INV-2026-2006,Swiggy Tech Fleet,88361.38,2026-08-20,CANON-1006
INV-2026-2007,Infosys Limited,98082.19,2026-08-27,CANON-1007
INV-2026-2008,Freshworks India,117559.1,2026-08-19,CANON-1008
INV-2026-2009,Razorpay Corp,76828.68,2026-09-05,CANON-1009
INV-2026-2010,Reliance Digital,177620.1,2026-08-17,CANON-1010
INV-2026-2011,Reliance Digital,217288.5,2026-08-28,CANON-1011
INV-2026-2012,Zomato Logistics,92041.32,2026-09-06,CANON-1012
INV-2026-2013,Zoho Corporation,46928.97,2026-09-08,CANON-1013
INV-2026-2014,HCL Tech,247433.22,2026-09-05,CANON-1014
INV-2026-2015,Zomato Logistics,211498.72,2026-09-09,CANON-1015
INV-2026-2017,Zoho Corporation,127311.66,2026-09-05,CANON-1017
INV-2026-2018,Reliance Digital,187522.3,2026-09-02,CANON-1018
INV-2026-2019,Swiggy Tech Fleet,93689.13,2026-08-20,CANON-1019
INV-2026-2020,Infosys Ltd,42446.12,2026-08-21,CANON-1020
INV-2026-2021,Infosys Limited,99267.99,2026-09-04,CANON-1021
INV-2026-2022,Tata Consultancy Services,171669.44,2026-08-19,CANON-1022
INV-2026-2023,Zomato Logistics,32330.28,2026-08-29,CANON-1023
INV-2026-2024,Freshworks India,69530.32,2026-09-01,CANON-1024
INV-2026-2025,HCL Technologies,211208.99,2026-09-01,CANON-1025
INV-2026-2029,Paytm Merchant Services,204925.7,2026-09-09,CANON-1029
INV-2026-2030,Zoho Corporation,121444.18,2026-09-02,CANON-1030
INV-2026-2031,Razorpay Corp,190039.97,2026-09-07,CANON-1031
INV-2026-2032,Zoho Corporation,164220.12,2026-08-30,CANON-1032
INV-2026-2033,Reliance Digital,60050.85,2026-08-26,CANON-1033
INV-2026-2034,Reliance Digital,6761.76,2026-09-07,CANON-1034
INV-2026-2035,Tata Consultancy Services,215610.67,2026-08-18,CANON-1035
INV-2026-2036,Paytm Merchant Services,57488.02,2026-08-20,CANON-1036
INV-2026-2037,Paytm Merchant Services,202836.76,2026-08-22,CANON-1037
INV-2026-2038,Swiggy Tech Fleet,105720.06,2026-09-08,CANON-1038
INV-2026-2039,Swiggy Tech Fleet,183412.33,2026-09-10,CANON-1039
INV-2026-2040,Reliance Digital,136390.01,2026-08-20,CANON-1040
INV-2026-2041,Reliance Digital,219249.06,2026-08-18,CANON-1041
INV-2026-2042,Zoho Corporation,249824.2,2026-08-16,CANON-1042
INV-2026-2043,Swiggy Tech Fleet,123982.08,2026-08-22,CANON-1043
INV-2026-2044,Swiggy Tech Fleet,5528.07,2026-08-28,CANON-1044
INV-2026-2045,Swiggy Tech Fleet,175664.92,2026-09-08,CANON-1045
INV-2026-2046,Reliance Digital,77693.42,2026-08-17,CANON-1046
INV-2026-2047,Zomato Logistics,19005.49,2026-09-03,CANON-1047
INV-2026-2048,Razorpay Corp,24627.31,2026-08-21,CANON-1048
INV-2026-2049,Reliance Digital,103925.01,2026-09-03,CANON-1049
INV-2026-2050,Infosys Limited,107710.1,2026-09-03,CANON-1050
INV-2026-2051,Reliance Digital,169082.86,2026-08-26,CANON-1051
INV-2026-2052,Zoho Corporation,163147.69,2026-08-30,CANON-1052
INV-2026-2053,Paytm Merchant Services,157184.02,2026-09-03,CANON-1053
INV-2026-2055,Zomato Logistics,74821.91,2026-08-30,CANON-1055
INV-2026-2056,Zoho Corporation,134590.47,2026-09-06,CANON-1056
INV-2026-2057,Infosys Limited,235037.85,2026-08-20,CANON-1057
INV-2026-2058,Razorpay Corp,43084.74,2026-08-25,CANON-1058
INV-2026-2059,Zoho Corporation,160388.3,2026-08-24,CANON-1059
INV-2026-2060,Infosys Limited,160399.69,2026-08-24,CANON-1060
INV-2026-2061,Zoho Corporation,245050.5,2026-08-21,CANON-1061
INV-2026-2063,Flipkart Internet Pvt Ltd,140368.65,2026-08-29,CANON-1063
INV-2026-2064,Tata Consultancy Services,225236.54,2026-08-22,CANON-1064
INV-2026-2065,Razorpay Corp,221613.0,2026-08-29,CANON-1065
INV-2026-2066,Wipro Enterprises,244170.48,2026-09-10,CANON-1066
INV-2026-2067,Wipro Ent,185458.3,2026-08-26,CANON-1067
INV-2026-2068,Freshworks India,203633.58,2026-08-24,CANON-1068
INV-2026-2069,Tata Consultancy Services,215355.35,2026-08-23,CANON-1069
INV-2026-2070,HCL Technologies,206031.41,2026-08-23,CANON-1070
INV-2026-2071,Zomato Logistics,73257.75,2026-08-18,CANON-1071
INV-2026-2072,Zoho Corporation,129804.39,2026-09-06,CANON-1072
INV-2026-2073,Infosys Limited,219874.41,2026-08-24,CANON-1073
INV-2026-2074,Infosys Ltd,151159.96,2026-08-27,CANON-1074
INV-2026-2075,Flipkart Internet Pvt Ltd,246137.78,2026-08-19,CANON-1075
INV-2026-2076,Tata Consultancy Services,178652.39,2026-08-16,CANON-1076
INV-2026-2078,Infosys Limited,181339.79,2026-08-25,CANON-1078
INV-2026-2079,Swiggy Tech Fleet,175816.06,2026-09-02,CANON-1079
INV-2026-2080,Swiggy Tech Fleet,170942.9,2026-08-21,CANON-1080
INV-2026-2081,Razorpay Corp,209262.67,2026-08-25,CANON-1081
INV-2026-2082,Flipkart Internet Pvt Ltd,165402.88,2026-08-30,CANON-1082
INV-2026-2083,Paytm Merchant Services,199465.17,2026-09-10,CANON-1083
INV-2026-2084,Razorpay Corp,167644.19,2026-09-04,CANON-1084
INV-2026-2085,HCL Technologies,60036.96,2026-08-22,CANON-1085
INV-2026-2086,Paytm Merchant Services,154762.12,2026-09-09,CANON-1086
INV-2026-2087,Flipkart Internet Pvt Ltd,52636.63,2026-09-07,CANON-1087
INV-2026-2088,Wipro Enterprises,165734.21,2026-08-16,CANON-1088
INV-2026-2089,Reliance Digital,48092.24,2026-09-07,CANON-1089
INV-2026-2090,Reliance Digital,229780.15,2026-08-19,CANON-1090
INV-2026-2091,Razorpay Corp,247033.65,2026-09-04,CANON-1091
INV-2026-2092,Freshworks India,223544.97,2026-08-29,CANON-1092
INV-2026-2093,Freshworks India,216066.25,2026-08-30,CANON-1093
INV-2026-2094,HCL Technologies,192624.35,2026-09-01,CANON-1094
INV-2026-2095,Paytm Merchant Services,23983.42,2026-08-25,CANON-1095
INV-2026-2096,Razorpay Corp,24741.53,2026-08-20,CANON-1096
INV-2026-2097,Reliance Digital,20736.07,2026-08-29,CANON-1097
INV-2026-2098,Tata Consultancy Services,55674.43,2026-08-29,CANON-1098
INV-2026-2099,Swiggy Tech Fleet,121860.03,2026-08-27,CANON-1099
INV-2026-2100,Razorpay Corp,188141.34,2026-09-02,CANON-1100
INV-2026-2101,Reliance Digital,71869.15,2026-08-31,CANON-1101
INV-2026-2102,Zoho Corporation,200544.87,2026-09-08,CANON-1102
INV-2026-2103,Flipkart Internet Pvt Ltd,135860.29,2026-08-28,CANON-1103
INV-2026-2104,Zoho Corporation,110010.13,2026-08-30,CANON-1104
INV-2026-2105,Zomato Logistics,56856.77,2026-08-26,CANON-1105
INV-2026-2106,Swiggy Tech Fleet,66806.53,2026-08-18,CANON-1106
INV-2026-2107,Reliance Digital,164285.3,2026-09-09,CANON-1107
INV-2026-2108,Reliance Digital,53843.37,2026-08-16,CANON-1108
INV-2026-2110,HCL Technologies,192890.03,2026-08-21,CANON-1110
INV-2026-2112,Freshworks India,53590.8,2026-09-03,CANON-1112
INV-2026-2113,Freshworks India,194257.82,2026-09-06,CANON-1113
INV-2026-2114,Tata Consultancy Services,90064.92,2026-08-29,CANON-1114
INV-2026-2115,Zoho Corporation,88601.64,2026-08-29,CANON-1115
INV-2026-2116,Zomato Logistics,160718.35,2026-08-30,CANON-1116
INV-2026-2117,Freshworks India,132827.95,2026-09-05,CANON-1117
INV-2026-2118,Swiggy Tech Fleet,207304.98,2026-09-03,CANON-1118
INV-2026-2119,HCL Tech,220999.64,2026-08-23,CANON-1119
INV-2026-2120,Tata Consultancy Services,126105.09,2026-08-26,CANON-1120
INV-2026-2121,HCL Tech,88383.02,2026-09-04,CANON-1121
INV-2026-2122,Tata Consultancy Services,131573.68,2026-08-22,CANON-1122
INV-2026-2123,Razorpay Corp,190750.34,2026-09-07,CANON-1123
INV-2026-2124,Tata Consultancy Services,27798.07,2026-08-23,CANON-1124
INV-2026-2125,Zoho Corporation,147481.12,2026-08-31,CANON-1125
INV-2026-2126,Freshworks India,139845.18,2026-08-27,CANON-1126
INV-2026-2127,HCL Technologies,61481.82,2026-09-08,CANON-1127
INV-2026-2128,Razorpay Corp,237965.0,2026-09-07,CANON-1128
INV-2026-2129,Paytm Merchant Services,72742.41,2026-09-03,CANON-1129
INV-2026-2130,Reliance Digital,77580.38,2026-08-27,CANON-1130
INV-2026-2131,Razorpay Corp,36012.83,2026-08-17,CANON-1131
INV-2026-2132,Wipro Enterprises,161278.07,2026-09-09,CANON-1132
INV-2026-2133,HCL Technologies,120002.25,2026-08-30,CANON-1133
INV-2026-2134,Paytm Merchant Services,32951.35,2026-08-18,CANON-1134
INV-2026-2135,Zoho Corporation,173180.5,2026-08-20,CANON-1135
INV-2026-2136,Reliance Digital,34020.63,2026-09-09,CANON-1136
INV-2026-2137,Swiggy Tech Fleet,115376.04,2026-08-30,CANON-1137
INV-2026-2138,Flipkart Internet Pvt Ltd,157151.69,2026-09-04,CANON-1138
INV-2026-2139,Zoho Corporation,56701.17,2026-09-06,CANON-1139
INV-2026-2140,Razorpay Corp,23390.89,2026-08-16,CANON-1140
INV-2026-2141,Tata Consultancy Services,61711.68,2026-09-07,CANON-1141
INV-2026-2142,Zoho Corporation,62188.83,2026-08-24,CANON-1142
INV-2026-2143,Infosys Limited,138417.78,2026-09-05,CANON-1143
INV-2026-2144,Infosys Limited,19611.32,2026-09-10,CANON-1144
INV-2026-2145,Infosys Ltd,119831.0,2026-08-25,CANON-1145
INV-2026-2146,Razorpay Corp,125979.83,2026-08-18,CANON-1146
INV-2026-2147,Zomato Logistics,152909.84,2026-08-16,CANON-1147
INV-2026-2148,HCL Tech,146180.51,2026-09-09,CANON-1148
INV-2026-2149,Zoho Corporation,113346.2,2026-08-24,CANON-1149
INV-2026-2150,Paytm Merchant Services,242418.53,2026-08-31,CANON-1150
