gateway_txn_id,invoice_ref,customer_name,settled_amount,status,timestamp,canonical_id
pay_d0fe326395d9,INV-2026-2001,Zoho Corporation,32276.11,SUCCESS,2026-08-24 02:00:00,CANON-1001
pay_97606506e05e,INV-2026-2002,Freshworks India,29509.09,SUCCESS,2026-08-24 01:00:00,CANON-1002
pay_0dd64466f73c,INV-2026-2003,Swiggy Tech Fleet,12786.76,SUCCESS,2026-08-03 01:00:00,CANON-1003
pay_bfceed17b974,INV-2026-2004,Reliance Digital,180424.81,SUCCESS,2026-08-23 02:00:00,CANON-1004
pay_da0a8a05129d,INV-2026-2005,Flipkart Internet Pvt Ltd,73156.72,SUCCESS,2026-08-01 02:00:00,CANON-1005
pay_ad1eeb49f17d,INV-2026-2006,Swiggy Tech Fleet,88361.38,SUCCESS,2026-08-05 03:00:00,CANON-1006
pay_a689fcbbecf2,INV-2026-2007,Infosys Limited,96120.55,SUCCESS,2026-08-12 03:00:00,CANON-1007
pay_ffa5bc82c2e9,INV-2026-2008,Freshworks India,117559.1,SUCCESS,2026-08-04 04:00:00,CANON-1008
pay_e4ad1af3f619,INV-2026-2008,Freshworks India,117559.1,SUCCESS,2026-08-04 00:02:00,CANON-1008
pay_85147a1d9242,INV-2026-2009,Razorpay Corp,76828.68,SUCCESS,2026-08-21 03:00:00,CANON-1009
pay_a07e58fe46d6,INV-2026-2010,Reliance Digital,177620.1,SUCCESS,2026-08-02 03:00:00,CANON-1010
pay_3eb3b18fe743,INV-2026-2011,Reliance Digital,217288.5,SUCCESS,2026-08-13 03:00:00,CANON-1011
pay_fd31521b5304,INV-2026-2012,Zomato Logistics,92041.32,SUCCESS,2026-08-22 01:00:00,CANON-1012
pay_687f4f8a84fd,INV-2026-2013,Zoho Corporation,46928.97,SUCCESS,2026-08-24 04:00:00,CANON-1013
pay_42214c8e4899,INV-2026-2014,HCL Technologies,247433.22,SUCCESS,2026-08-21 02:00:00,CANON-1014
pay_bd5d3be21574,INV-2026-2015,Zomato Logistics,211498.72,SUCCESS,2026-08-25 01:00:00,CANON-1015
pay_77efb9637226,INV-2026-2016,Swiggy Tech Fleet,70596.51,SUCCESS,2026-08-07 03:00:00,CANON-1016
pay_1d5e64f11a16,INV-2026-2017,Zoho Corporation,127311.66,SUCCESS,2026-08-21 03:00:00,CANON-1017
pay_fc88be7c8c86,INV-2026-2018,Reliance Digital,187522.3,SUCCESS,2026-08-18 04:00:00,CANON-1018
pay_20717652b7e6,INV-2026-2019,Swiggy Tech Fleet,93689.13,SUCCESS,2026-08-05 01:00:00,CANON-1019
pay_1e5f071145c4,INV-2026-2020,Infosys Limited,42446.12,SUCCESS,2026-08-06 04:00:00,CANON-1020
pay_186385eec166,INV-2026-2021,Infosys Limited,99267.99,SUCCESS,2026-08-20 03:00:00,CANON-1021
pay_0726bebe8fa4,INV-2026-2021,Infosys Limited,99267.99,SUCCESS,2026-08-20 00:02:00,CANON-1021
pay_733023668909,INV-2026-2022,Tata Consultancy Services,171669.44,SUCCESS,2026-08-04 03:00:00,CANON-1022
pay_995ad4afdcd6,INV-2026-2023,Zomato Logistics,32330.28,SUCCESS,2026-08-14 01:00:00,CANON-1023
pay_96daec8f199d,INV-2026-2024,Freshworks India,69530.32,SUCCESS,2026-08-17 01:00:00,CANON-1024
pay_db40b2b6a96e,INV-2026-2025,HCL Technologies,211208.99,SUCCESS,2026-08-17 02:00:00,CANON-1025
pay_42c12c4641a1,INV-2026-2026,Wipro Enterprises,137147.86,SUCCESS,2026-08-25 01:00:00,CANON-1026
pay_c6d9f26d6f45,INV-2026-2027,Zomato Logistics,124708.4,SUCCESS,2026-08-04 03:00:00,CANON-1027
pay_cd485b7e6d84,INV-2026-2028,Tata Consultancy Services,64013.54,SUCCESS,2026-08-19 01:00:00,CANON-1028
pay_2f6001e268e1,INV-2026-2029,Paytm Merchant Services,204925.7,SUCCESS,2026-08-25 02:00:00,CANON-1029
pay_8aeec685ba50,INV-2026-2030,Zoho Corporation,121444.18,SUCCESS,2026-08-18 04:00:00,CANON-1030
pay_f9a02e9e74a6,INV-2026-2031,Razorpay Corp,190039.97,SUCCESS,2026-08-23 03:00:00,CANON-1031
pay_d8df215dd9c5,INV-2026-2032,Zoho Corporation,160935.72,SUCCESS,2026-08-15 04:00:00,CANON-1032
pay_863ec7b9f166,INV-2026-2033,Reliance Digital,60050.85,SUCCESS,2026-08-11 02:00:00,CANON-1033
pay_e10740668343,INV-2026-2034,Reliance Digital,6761.76,SUCCESS,2026-08-23 02:00:00,CANON-1034
pay_35d176c692c5,INV-2026-2035,Tata Consultancy Services,215610.67,SUCCESS,2026-08-03 03:00:00,CANON-1035
pay_84795506e6c9,INV-2026-2036,Paytm Merchant Services,57488.02,SUCCESS,2026-08-05 04:00:00,CANON-1036
pay_22bbeab4a71c,INV-2026-2037,Paytm Merchant Services,202836.76,SUCCESS,2026-08-07 04:00:00,CANON-1037
pay_8acb22684b78,INV-2026-2038,Swiggy Tech Fleet,105720.06,SUCCESS,2026-08-24 01:00:00,CANON-1038
pay_08dd7d20a98b,INV-2026-2039,Swiggy Tech Fleet,179744.08,SUCCESS,2026-08-26 02:00:00,CANON-1039
pay_5fef00dddaf4,INV-2026-2040,Reliance Digital,136390.01,SUCCESS,2026-08-05 03:00:00,CANON-1040
pay_b1ab5828e759,INV-2026-2041,Reliance Digital,219249.06,SUCCESS,2026-08-03 01:00:00,CANON-1041
pay_554be31cd0a0,INV-2026-2042,Zoho Corporation,249824.2,SUCCESS,2026-08-01 02:00:00,CANON-1042
pay_de239be9e074,INV-2026-2042,Zoho Corporation,249824.2,SUCCESS,2026-08-01 00:02:00,CANON-1042
pay_7a875418c25e,INV-2026-2043,Swiggy Tech Fleet,121502.44,SUCCESS,2026-08-07 01:00:00,CANON-1043
pay_ae9bc4feb872,INV-2026-2044,Swiggy Tech Fleet,5528.07,SUCCESS,2026-08-13 04:00:00,CANON-1044
pay_8e58a34af166,INV-2026-2045,Swiggy Tech Fleet,175664.92,SUCCESS,2026-08-24 04:00:00,CANON-1045
pay_c8fa8c23e5ca,INV-2026-2045,Swiggy Tech Fleet,175664.92,SUCCESS,2026-08-24 00:02:00,CANON-1045
pay_374f502df5b7,INV-2026-2046,Reliance Digital,77693.42,SUCCESS,2026-08-02 01:00:00,CANON-1046
pay_0e3491132d60,INV-2026-2047,Zomato Logistics,19005.49,SUCCESS,2026-08-19 02:00:00,CANON-1047
pay_c6e6e69dfd4f,INV-2026-2048,Razorpay Corp,24627.31,SUCCESS,2026-08-06 01:00:00,CANON-1048
pay_416e6593da9b,INV-2026-2049,Reliance Digital,103925.01,SUCCESS,2026-08-19 01:00:00,CANON-1049
pay_c49d53cceffd,INV-2026-2050,Infosys Limited,107710.1,SUCCESS,2026-08-19 03:00:00,CANON-1050
pay_3b654fc8111a,INV-2026-2051,Reliance Digital,169082.86,SUCCESS,2026-08-11 04:00:00,CANON-1051
pay_a0855013517f,INV-2026-2052,Zoho Corporation,163147.69,SUCCESS,2026-08-15 01:00:00,CANON-1052
pay_a3350f075862,INV-2026-2053,Paytm Merchant Services,157184.02,SUCCESS,2026-08-19 01:00:00,CANON-1053
pay_46efaf12fc83,INV-2026-2053,Paytm Merchant Services,157184.02,SUCCESS,2026-08-19 00:02:00,CANON-1053
pay_1b88f6643f48,INV-2026-2054,Reliance Digital,128941.75,SUCCESS,2026-08-05 01:00:00,CANON-1054
pay_3d7269da190c,INV-2026-2055,Zomato Logistics,73325.47,SUCCESS,2026-08-15 03:00:00,CANON-1055
pay_b1a1f0c0bc78,INV-2026-2056,Zoho Corporation,131898.66,SUCCESS,2026-08-22 03:00:00,CANON-1056
pay_d51ba271306a,INV-2026-2057,Infosys Limited,235037.85,SUCCESS,2026-08-05 01:00:00,CANON-1057
pay_66963225b069,INV-2026-2058,Razorpay Corp,43084.74,SUCCESS,2026-08-10 03:00:00,CANON-1058
pay_8f8c3c8be086,INV-2026-2059,Zoho Corporation,160388.3,SUCCESS,2026-08-09 03:00:00,CANON-1059
pay_2db71daf7db3,INV-2026-2060,Infosys Limited,160399.69,SUCCESS,2026-08-09 03:00:00,CANON-1060
pay_ea7dd256de3c,INV-2026-2061,Zoho Corporation,245050.5,SUCCESS,2026-08-06 04:00:00,CANON-1061
pay_05be7b377c25,INV-2026-2062,Tata Consultancy Services,32409.1,SUCCESS,2026-08-23 01:00:00,CANON-1062
pay_775f78cb86ad,INV-2026-2063,Flipkart Internet Pvt Ltd,140368.65,SUCCESS,2026-08-14 03:00:00,CANON-1063
pay_510e575a40fe,INV-2026-2064,Tata Consultancy Services,225236.54,SUCCESS,2026-08-07 01:00:00,CANON-1064
pay_15f9366d4614,INV-2026-2065,Razorpay Corp,221613.0,SUCCESS,2026-08-14 02:00:00,CANON-1065
pay_b67c3dd93edc,INV-2026-2065,Razorpay Corp,221613.0,SUCCESS,2026-08-14 00:02:00,CANON-1065
pay_42dc4522c15c,INV-2026-2066,Wipro Enterprises,244170.48,SUCCESS,2026-08-26 04:00:00,CANON-1066
pay_dcf2dcea0068,INV-2026-2067,Wipro Enterprises,185458.3,SUCCESS,2026-08-11 04:00:00,CANON-1067
pay_9ab68733694d,INV-2026-2068,Freshworks India,203633.58,SUCCESS,2026-08-09 01:00:00,CANON-1068
pay_42276a7a8684,INV-2026-2069,Tata Consultancy Services,215355.35,SUCCESS,2026-08-08 04:00:00,CANON-1069
pay_647925d10a64,INV-2026-2070,HCL Technologies,206031.41,SUCCESS,2026-08-08 02:00:00,CANON-1070
pay_02e71aacc283,INV-2026-2071,Zomato Logistics,73257.75,SUCCESS,2026-08-03 03:00:00,CANON-1071
pay_cbff5280d340,INV-2026-2071,Zomato Logistics,73257.75,SUCCESS,2026-08-03 00:02:00,CANON-1071
pay_65e46be323f2,INV-2026-2072,Zoho Corporation,129804.39,SUCCESS,2026-08-22 03:00:00,CANON-1072
pay_acb3ef686364,INV-2026-2072,Zoho Corporation,129804.39,SUCCESS,2026-08-22 00:02:00,CANON-1072
pay_126a9c158110,INV-2026-2073,Infosys Limited,219874.41,SUCCESS,2026-08-09 03:00:00,CANON-1073
pay_9d111407b153,INV-2026-2074,Infosys Limited,151159.96,SUCCESS,2026-08-12 03:00:00,CANON-1074
pay_5e563f840d78,INV-2026-2075,Flipkart Internet Pvt Ltd,246137.78,SUCCESS,2026-08-04 02:00:00,CANON-1075
pay_94aaa83ce398,INV-2026-2076,Tata Consultancy Services,178652.39,SUCCESS,2026-08-01 02:00:00,CANON-1076
pay_4d746c3a9382,INV-2026-2077,Swiggy Tech Fleet,22143.58,SUCCESS,2026-08-22 03:00:00,CANON-1077
pay_3eb79d8eed9a,INV-2026-2078,Infosys Limited,181339.79,SUCCESS,2026-08-10 04:00:00,CANON-1078
pay_755bd37d64c9,INV-2026-2079,Swiggy Tech Fleet,175816.06,SUCCESS,2026-08-18 04:00:00,CANON-1079
pay_8222361edbd1,INV-2026-2080,Swiggy Tech Fleet,170942.9,SUCCESS,2026-08-06 03:00:00,CANON-1080
pay_18edd4ecd257,INV-2026-2081,Razorpay Corp,209262.67,SUCCESS,2026-08-10 04:00:00,CANON-1081
pay_3a08bc2e3d4f,INV-2026-2082,Flipkart Internet Pvt Ltd,165402.88,SUCCESS,2026-08-15 02:00:00,CANON-1082
pay_0c84f4c7b8f0,INV-2026-2083,Paytm Merchant Services,199465.17,SUCCESS,2026-08-26 01:00:00,CANON-1083
pay_b8894397fd0f,INV-2026-2084,Razorpay Corp,167644.19,SUCCESS,2026-08-20 02:00:00,CANON-1084
pay_919376965cd8,INV-2026-2085,HCL Technologies,60036.96,SUCCESS,2026-08-07 01:00:00,CANON-1085
pay_1b5ec1f240da,INV-2026-2086,Paytm Merchant Services,154762.12,SUCCESS,2026-08-25 04:00:00,CANON-1086
pay_11d754f9f5cd,INV-2026-2087,Flipkart Internet Pvt Ltd,52636.63,SUCCESS,2026-08-23 04:00:00,CANON-1087
pay_a22638341817,INV-2026-2088,Wipro Enterprises,162419.53,SUCCESS,2026-08-01 01:00:00,CANON-1088
pay_a16362801ee7,INV-2026-2089,Reliance Digital,48092.24,SUCCESS,2026-08-23 01:00:00,CANON-1089
pay_1652f6d7cf1e,INV-2026-2090,Reliance Digital,229780.15,SUCCESS,2026-08-04 04:00:00,CANON-1090
pay_ae7dd2eaf788,INV-2026-2091,Razorpay Corp,247033.65,SUCCESS,2026-08-20 04:00:00,CANON-1091
pay_3b9098bc0b2b,INV-2026-2092,Freshworks India,219074.07,SUCCESS,2026-08-14 04:00:00,CANON-1092
pay_a856bf3a77dd,INV-2026-2093,Freshworks India,216066.25,SUCCESS,2026-08-15 02:00:00,CANON-1093
pay_6b639dfdde70,INV-2026-2094,HCL Technologies,192624.35,SUCCESS,2026-08-17 02:00:00,CANON-1094
pay_de707c837e0e,INV-2026-2095,Paytm Merchant Services,23983.42,SUCCESS,2026-08-10 03:00:00,CANON-1095
pay_4e41e5107d57,INV-2026-2096,Razorpay Corp,24741.53,SUCCESS,2026-08-05 02:00:00,CANON-1096
pay_4e438e19d07b,INV-2026-2097,Reliance Digital,20736.07,SUCCESS,2026-08-14 04:00:00,CANON-1097
pay_7105e562cf31,INV-2026-2098,Tata Consultancy Services,55674.43,SUCCESS,2026-08-14 01:00:00,CANON-1098
pay_f304f47254eb,INV-2026-2099,Swiggy Tech Fleet,121860.03,SUCCESS,2026-08-12 04:00:00,CANON-1099
pay_a80a9ef2f6db,INV-2026-2100,Razorpay Corp,188141.34,SUCCESS,2026-08-18 02:00:00,CANON-1100
