bank_stmt_id,invoice_ref,system_status,system_reason,confidence,canonical_id
BNK-202608-3001,INV-2026-2001,MATCH,Exact match across sources,1.0,CANON-1001
BNK-202608-3002,INV-2026-2002,REVIEW,Gateway amount mismatch due to fee deduction (₹602.23),0.85,CANON-1002
BNK-202608-3003,INV-2026-2003,MATCH,Exact match across sources,1.0,CANON-1003
BNK-202608-3004,INV-2026-2004,MATCH,Exact match across sources,1.0,CANON-1004
BNK-202608-3005,INV-2026-2005,MATCH,Exact match across sources,1.0,CANON-1005
BNK-202608-3006,INV-2026-2006,MATCH,Exact match across sources,1.0,CANON-1006
BNK-202608-3007,INV-2026-2007,REVIEW,Gateway amount mismatch due to fee deduction (₹1961.64),0.85,CANON-1007
BNK-202608-3008,INV-2026-2008,DUPLICATE,Found 2 gateway transactions for this invoice,0.99,CANON-1008
BNK-202608-3009,INV-2026-2009,MATCH,Exact match across sources,1.0,CANON-1009
BNK-202608-3010,INV-2026-2010,MATCH,Exact match across sources,1.0,CANON-1010
BNK-202608-3011,INV-2026-2011,MATCH,Exact match across sources,1.0,CANON-1011
BNK-202608-3012,INV-2026-2012,MATCH,Exact match across sources,1.0,CANON-1012
BNK-202608-3013,INV-2026-2013,MATCH,Exact match across sources,1.0,CANON-1013
BNK-202608-3014,INV-2026-2014,MATCH,Exact match across sources,1.0,CANON-1014
BNK-202608-3015,INV-2026-2015,MATCH,Exact match across sources,1.0,CANON-1015
BNK-202608-3016,INV-2026-2016,EXCEPTION,Invoice missing in ERP,0.0,CANON-1016
BNK-202608-3017,INV-2026-2017,MATCH,Exact match across sources,1.0,CANON-1017
BNK-202608-3018,INV-2026-2018,MATCH,Exact match across sources,1.0,CANON-1018
BNK-202608-3019,INV-2026-2019,MATCH,Exact match across sources,1.0,CANON-1019
BNK-202608-3020,INV-2026-2020,MATCH,Exact match across sources,1.0,CANON-1020
BNK-202608-3021,INV-2026-2021,DUPLICATE,Found 2 gateway transactions for this invoice,0.99,CANON-1021
BNK-202608-3022,INV-2026-2022,MATCH,Exact match across sources,1.0,CANON-1022
BNK-202608-3023,INV-2026-2023,MATCH,Exact match across sources,1.0,CANON-1023
BNK-202608-3024,INV-2026-2024,MATCH,Exact match across sources,1.0,CANON-1024
BNK-202608-3025,INV-2026-2025,MATCH,Exact match across sources,1.0,CANON-1025
BNK-202608-3026,INV-2026-2026,EXCEPTION,Invoice missing in ERP,0.0,CANON-1026
BNK-202608-3027,INV-2026-2027,EXCEPTION,Invoice missing in ERP,0.0,CANON-1027
BNK-202608-3028,INV-2026-2028,EXCEPTION,Invoice missing in ERP,0.0,CANON-1028
BNK-202608-3029,INV-2026-2029,MATCH,Exact match across sources,1.0,CANON-1029
BNK-202608-3030,INV-2026-2030,MATCH,Exact match across sources,1.0,CANON-1030
BNK-202608-3031,INV-2026-2031,MATCH,Exact match across sources,1.0,CANON-1031
BNK-202608-3032,INV-2026-2032,REVIEW,Gateway amount mismatch due to fee deduction (₹3284.4),0.85,CANON-1032
BNK-202608-3033,INV-2026-2033,MATCH,Exact match across sources,1.0,CANON-1033
BNK-202608-3034,INV-2026-2034,MATCH,Exact match across sources,1.0,CANON-1034
BNK-202608-3035,INV-2026-2035,MATCH,Exact match across sources,1.0,CANON-1035
BNK-202608-3036,INV-2026-2036,MATCH,Exact match across sources,1.0,CANON-1036
BNK-202608-3037,INV-2026-2037,MATCH,Exact match across sources,1.0,CANON-1037
BNK-202608-3038,INV-2026-2038,MATCH,Exact match across sources,1.0,CANON-1038
BNK-202608-3039,INV-2026-2039,REVIEW,Gateway amount mismatch due to fee deduction (₹3668.25),0.85,CANON-1039
BNK-202608-3040,INV-2026-2040,MATCH,Exact match across sources,1.0,CANON-1040
BNK-202608-3041,INV-2026-2041,MATCH,Exact match across sources,1.0,CANON-1041
BNK-202608-3042,INV-2026-2042,DUPLICATE,Found 2 gateway transactions for this invoice,0.99,CANON-1042
